time,microjax,vbmicrolensing,relative_difference
-1.081081081081081141e+00,7.212856342831572398e+00,7.213024856524745232e+00,2.336241681191489239e-05
-1.066066066066066131e+00,7.326957717682779148e+00,7.327130853021145640e+00,2.362934985596779801e-05
-1.051051051051051122e+00,7.444106297719513599e+00,7.444284669635180762e+00,2.396092083833558005e-05
-1.036036036036036112e+00,7.564318093675047372e+00,7.564501047780104237e+00,2.418587873823550705e-05
-1.021021021021021102e+00,7.687592593551699771e+00,7.687783097253498177e+00,2.478005679770858542e-05
-1.006006006006006093e+00,7.813909408086112229e+00,7.814103017899049597e+00,2.477697216096119004e-05
-9.909909909909906389e-01,7.943224438673635923e+00,7.943421359166734419e+00,2.479038744070259946e-05
-9.759759759759756292e-01,8.075465530448715512e+00,8.075668521715648751e+00,2.513615639217868519e-05
-9.609609609609606196e-01,8.210527579477279403e+00,8.210734976131686125e+00,2.525920700273684763e-05
-9.459459459459456099e-01,8.348267074814994970e+00,8.348478875488417827e+00,2.536997177350659450e-05
-9.309309309309306002e-01,8.488496074802320379e+00,8.488714143748914864e+00,2.568927907120904078e-05
-9.159159159159155905e-01,8.630975641819464528e+00,8.631195011546882512e+00,2.541591600288365470e-05
-9.009009009009005808e-01,8.775408794086750675e+00,8.775627392314088837e+00,2.490969791283712919e-05
-8.858858858858855712e-01,8.921433080964144224e+00,8.921657473108020042e+00,2.515139642518093759e-05
-8.708708708708705615e-01,9.068612944883973626e+00,9.068844064145130446e+00,2.548497465852132943e-05
-8.558558558558555518e-01,9.216432107661164608e+00,9.216662056965413186e+00,2.494930407856232898e-05
-8.408408408408405421e-01,9.364286300448863898e+00,9.364519434198161463e+00,2.489543120025859937e-05
-8.258258258258255324e-01,9.511476761263237378e+00,9.511724369092767972e+00,2.603185499520638727e-05
-8.108108108108105228e-01,9.657205021265095723e+00,9.657447775318871663e+00,2.513646042138959716e-05
-7.957957957957955131e-01,9.800569627896749125e+00,9.800822289932495934e+00,2.577967728344039247e-05
-7.807807807807805034e-01,9.940565447597029092e+00,9.940832462791883373e+00,2.686044613001049451e-05
-7.657657657657654937e-01,1.007608656618136855e+01,1.007635176491992723e+01,2.631892422433588193e-05
