time,microjax,vbmicrolensing,relative_difference
-2.477477477477477485e+00,3.185624125383822669e+00,3.185628536421857504e+00,1.384668044124674325e-06
-2.462462462462462476e+00,3.199558260844824975e+00,3.199562731533654336e+00,1.397281192614133733e-06
-2.447447447447447466e+00,3.213763137337799058e+00,3.213767058107148245e+00,1.219991766141047881e-06
-2.432432432432432456e+00,3.228243072004345571e+00,3.228247054424306484e+00,1.233616849570098658e-06
-2.417417417417417447e+00,3.243002537618846493e+00,3.243006583966583367e+00,1.247714931224548210e-06
-2.402402402402402437e+00,3.258046167417415262e+00,3.258050280056575598e+00,1.262300703433254894e-06
-2.387387387387387427e+00,3.273378760035152713e+00,3.273382941438232940e+00,1.277395023751990651e-06
-2.372372372372372418e+00,3.289005284721209676e+00,3.289010158517068572e+00,1.481842750249396367e-06
-2.357357357357357408e+00,3.304930886717724725e+00,3.304935835745054895e+00,1.497465480764561786e-06
-2.342342342342342398e+00,3.321160892946063647e+00,3.321165919810076694e+00,1.513584125099756036e-06
-2.327327327327327389e+00,3.337700817822239152e+00,3.337705300729103097e+00,1.343110448656410828e-06
-2.312312312312312379e+00,3.354556369464911647e+00,3.354560935424812484e+00,1.361119976274687088e-06
-2.297297297297297369e+00,3.371733456058477518e+00,3.371738108280292412e+00,1.379769621925489508e-06
-2.282282282282282360e+00,3.389238192584784315e+00,3.389242934410506614e+00,1.399081096889087826e-06
-2.267267267267267350e+00,3.407076907765986373e+00,3.407081742706011163e+00,1.419085419696824190e-06
-2.252252252252252340e+00,3.425256151420461137e+00,3.425261083134164330e+00,1.439806655170607115e-06
-2.237237237237237331e+00,3.443782702042863075e+00,3.443787734367436570e+00,1.461276060447862392e-06
-2.222222222222222321e+00,3.462663574814003109e+00,3.462668711753370765e+00,1.483520312012393421e-06
-2.207207207207207311e+00,3.481906029883089726e+00,3.481911275646458304e+00,1.506575829564666036e-06
-2.192192192192192302e+00,3.501517581137525426e+00,3.501522940115547655e+00,1.530470630603030894e-06
-2.177177177177177292e+00,3.521506005239711357e+00,3.521511482043951702e+00,1.555242477064537327e-06
-2.162162162162162282e+00,3.541879351186218994e+00,3.541885392624333662e+00,1.705712479361587233e-06
-2.147147147147147273e+00,3.562645950250536764e+00,3.562652124858312952e+00,1.733149226977566048e-06
-2.132132132132132263e+00,3.583814426379565710e+00,3.583820739437840963e+00,1.761544098950605673e-06
-2.117117117117117253e+00,3.605393707096234746e+00,3.605400164133140350e+00,1.790934878696728615e-06
-2.102102102102102243e+00,3.627393034876748246e+00,3.627399965197477538e+00,1.910547718967977234e-06
-2.087087087087087234e+00,3.649821979052466414e+00,3.649829088593975701e+00,1.947910802592076481e-06
-2.072072072072072224e+00,3.672690448298592703e+00,3.672697744481203230e+00,1.986600346160100608e-06
-2.057057057057057214e+00,3.696008703659059869e+00,3.696016194266896981e+00,2.026670729617465869e-06
-2.042042042042042205e+00,3.719787372204529596e+00,3.719795065399154055e+00,2.068177006851580005e-06
-2.027027027027027195e+00,3.744037461292819557e+00,3.744042819009391732e+00,1.430997675820293254e-06
-2.012012012012012185e+00,3.768770373546877384e+00,3.768775861075173150e+00,1.456050584605793324e-06
-1.996996996996997176e+00,3.793997922483944851e+00,3.794003544951638052e+00,1.481935276703088814e-06
-1.981981981981982166e+00,3.819732348876918593e+00,3.819737869753207171e+00,1.445354753868238250e-06
-1.966966966966967156e+00,3.845986337907804309e+00,3.845992051646505594e+00,1.485634557887087557e-06
-1.951951951951952147e+00,3.872773037103398153e+00,3.872778953732714857e+00,1.527747745840725388e-06
-1.936936936936937137e+00,3.900106075091339886e+00,3.900111556119968181e+00,1.405351757104253810e-06
-1.921921921921922127e+00,3.927999581262674678e+00,3.928005247311864512e+00,1.442474954357997148e-06
-1.906906906906907118e+00,3.956468206322059977e+00,3.956474809512694257e+00,1.668958088246578950e-06
-1.891891891891892108e+00,3.985527143834252772e+00,3.985533995948316033e+00,1.719246171335212521e-06
-1.876876876876877098e+00,4.015192152699088801e+00,4.015199267175103337e+00,1.771886160843331744e-06
